GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALXZE001,NAME_M,ALXZM001
"G4801510","2015-2019","TX",,,"Texas","48","Fisher County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48151",,,"Fisher County, Texas",62000,"Fisher County, Texas",11972
"G4801530","2015-2019","TX",,,"Texas","48","Floyd County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48153",,,"Floyd County, Texas",54702,"Floyd County, Texas",3352
"G4801550","2015-2019","TX",,,"Texas","48","Foard County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48155",,,"Foard County, Texas",52717,"Foard County, Texas",9743
"G4801570","2015-2019","TX",,,"Texas","48","Fort Bend County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48157",,,"Fort Bend County, Texas",108211,"Fort Bend County, Texas",1980
"G4801590","2015-2019","TX",,,"Texas","48","Franklin County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48159",,,"Franklin County, Texas",64945,"Franklin County, Texas",8841
"G4801610","2015-2019","TX",,,"Texas","48","Freestone County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48161",,,"Freestone County, Texas",63450,"Freestone County, Texas",5513
"G4801630","2015-2019","TX",,,"Texas","48","Frio County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48163",,,"Frio County, Texas",54111,"Frio County, Texas",4338
"G4801650","2015-2019","TX",,,"Texas","48","Gaines County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48165",,,"Gaines County, Texas",72461,"Gaines County, Texas",6777
"G4801670","2015-2019","TX",,,"Texas","48","Galveston County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48167",,,"Galveston County, Texas",89270,"Galveston County, Texas",2847
"G4801690","2015-2019","TX",,,"Texas","48","Garza County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48169",,,"Garza County, Texas",68160,"Garza County, Texas",9577
"G4801710","2015-2019","TX",,,"Texas","48","Gillespie County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48171",,,"Gillespie County, Texas",73481,"Gillespie County, Texas",3556
"G4801730","2015-2019","TX",,,"Texas","48","Glasscock County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48173",,,"Glasscock County, Texas",77941,"Glasscock County, Texas",13751
"G4801750","2015-2019","TX",,,"Texas","48","Goliad County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US48175",,,"Goliad County, Texas",80625,"Goliad County, Texas",15712
