GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,C19001
"G3000390","1970","Montana","30","Granite","039",,,,,,,,,"Granite",940950
"G3000410","1970","Montana","30","Hill","041",,,,,,,,,"Hill",6332250
"G3000430","1970","Montana","30","Jefferson","043",,,,,,,,,"Jefferson",1313150
"G3000450","1970","Montana","30","Judith Basin","045",,,,,,,,,"Judith Basin",557800
"G3000470","1970","Montana","30","Lake","047",,,,,,,,,"Lake",2703600
"G3000490","1970","Montana","30","Lewis And Clark","049",,,,,,,,,"Lewis And Clark",15613300
"G3000510","1970","Montana","30","Liberty","051",,,,,,,,,"Liberty",379550
"G3000530","1970","Montana","30","Lincoln","053",,,,,,,,,"Lincoln",3983400
"G3000550","1970","Montana","30","McCone","055",,,,,,,,,"Mc Cone",987050
"G3000570","1970","Montana","30","Madison","057",,,,,,,,,"Madison",2439350
"G3000590","1970","Montana","30","Meagher","059",,,,,,,,,"Meagher",679500
"G3000610","1970","Montana","30","Mineral","061",,,,,,,,,"Mineral",467500
"G3000630","1970","Montana","30","Missoula","063",,,,,,,,,"Missoula",19878050
"G3000650","1970","Montana","30","Musselshell","065",,,,,,,,,"Musselshell",1006100
"G3000670","1970","Montana","30","Park","067",,,,,,,,,"Park",3397050
"G3000690","1970","Montana","30","Petroleum","069",,,,,,,,,"Petroleum",371900
"G3000710","1970","Montana","30","Phillips","071",,,,,,,,,"Phillips",1661900
"G3000730","1970","Montana","30","Pondera","073",,,,,,,,,"Pondera",1709600
"G3000750","1970","Montana","30","Powder River","075",,,,,,,,,"Powder River",635800
"G3000770","1970","Montana","30","Powell","077",,,,,,,,,"Powell",1950850
"G3000790","1970","Montana","30","Prairie","079",,,,,,,,,"Prairie",454900
"G3000810","1970","Montana","30","Ravalli","081",,,,,,,,,"Ravalli",3330150
"G3000830","1970","Montana","30","Richland","083",,,,,,,,,"Richland",1997800
"G3000850","1970","Montana","30","Roosevelt","085",,,,,,,,,"Roosevelt",2073150
"G3000870","1970","Montana","30","Rosebud","087",,,,,,,,,"Rosebud",1771150
"G3000890","1970","Montana","30","Sanders","089",,,,,,,,,"Sanders",1860800
"G3000910","1970","Montana","30","Sheridan","091",,,,,,,,,"Sheridan",2401500
"G3000930","1970","Montana","30","Silver Bow","093",,,,,,,,,"Silver Bow",14417350
"G3000950","1970","Montana","30","Stillwater","095",,,,,,,,,"Stillwater",991900
"G3000970","1970","Montana","30","Sweet Grass","097",,,,,,,,,"Sweet Grass",1356800
"G3000990","1970","Montana","30","Teton","099",,,,,,,,,"Teton",1314600
"G3001010","1970","Montana","30","Toole","101",,,,,,,,,"Toole",1164750
"G3001030","1970","Montana","30","Treasure","103",,,,,,,,,"Treasure",191950
"G3001050","1970","Montana","30","Valley","105",,,,,,,,,"Valley",2918750
"G3001070","1970","Montana","30","Wheatland","107",,,,,,,,,"Wheatland",716200
"G3001090","1970","Montana","30","Wibaux","109",,,,,"3040",,,,"Wibaux",424200
"G3001110","1970","Montana","30","Yellowstone","111",,,,,"0880",,,,"Yellowstone",28572200
"G3001130","1970","Montana","30","Yellowstone National Park","113",,,,,"0880",,,,"Yellowstone National Park",49200
"G3100010","1970","Nebraska","31","Adams","001",,,,,,,,,"Adams",10734550
"G3100030","1970","Nebraska","31","Antelope","003",,,,,,,,,"Antelope",2029300
"G3100050","1970","Nebraska","31","Arthur","005",,,,,,,,,"Arthur",149850
"G3100070","1970","Nebraska","31","Banner","007",,,,,,,,,"Banner",191300
"G3100090","1970","Nebraska","31","Blaine","009",,,,,,,,,"Blaine",155000
"G3100110","1970","Nebraska","31","Boone","011",,,,,,,,,"Boone",2222700
"G3100130","1970","Nebraska","31","Box Butte","013",,,,,,,,,"Box Butte",2484200
"G3100150","1970","Nebraska","31","Boyd","015",,,,,,,,,"Boyd",775650
"G3100170","1970","Nebraska","31","Brown","017",,,,,,,,,"Brown",929150
"G3100190","1970","Nebraska","31","Buffalo","019",,,,,,,,,"Buffalo",10996800
"G3100210","1970","Nebraska","31","Burt","021",,,,,,,,,"Burt",2134450
"G3100230","1970","Nebraska","31","Butler","023",,,,,,,,,"Butler",1620650
"G3100250","1970","Nebraska","31","Cass","025",,,,,,,,,"Cass",3335550
"G3100270","1970","Nebraska","31","Cedar","027",,,,,,,,,"Cedar",2040700
"G3100290","1970","Nebraska","31","Chase","029",,,,,,,,,"Chase",715050
"G3100310","1970","Nebraska","31","Cherry","031",,,,,,,,,"Cherry",1750500
"G3100330","1970","Nebraska","31","Cheyenne","033",,,,,,,,,"Cheyenne",2901750
"G3100350","1970","Nebraska","31","Clay","035",,,,,,,,,"Clay",2515250
"G3100370","1970","Nebraska","31","Colfax","037",,,,,,,,,"Colfax",2282150
"G3100390","1970","Nebraska","31","Cuming","039",,,,,,,,,"Cuming",2250050
"G3100410","1970","Nebraska","31","Custer","041",,,,,,,,,"Custer",3597500
"G3100430","1970","Nebraska","31","Dakota","043",,,,,"7720",,,,"Dakota",2957850
"G3100450","1970","Nebraska","31","Dawes","045",,,,,,,,,"Dawes",4221050
"G3100470","1970","Nebraska","31","Dawson","047",,,,,,,,,"Dawson",5346350
"G3100490","1970","Nebraska","31","Deuel","049",,,,,,,,,"Deuel",699750
"G3100510","1970","Nebraska","31","Dixon","051",,,,,,,,,"Dixon",1432600
"G3100530","1970","Nebraska","31","Dodge","053",,,,,"7720",,,,"Dodge",10590850
"G3100550","1970","Nebraska","31","Douglas","055",,,,,"5920",,,,"Douglas",158659950
"G3100570","1970","Nebraska","31","Dundy","057",,,,,,,,,"Dundy",920150
"G3100590","1970","Nebraska","31","Fillmore","059",,,,,,,,,"Fillmore",2321650
"G3100610","1970","Nebraska","31","Franklin","061",,,,,,,,,"Franklin",1317700
"G3100630","1970","Nebraska","31","Frontier","063",,,,,,,,,"Frontier",1038650
"G3100650","1970","Nebraska","31","Furnas","065",,,,,,,,,"Furnas",1527500
"G3100670","1970","Nebraska","31","Gage","067",,,,,,,,,"Gage",6482350
"G3100690","1970","Nebraska","31","Garden","069",,,,,,,,,"Garden",547050
"G3100710","1970","Nebraska","31","Garfield","071",,,,,,,,,"Garfield",860750
"G3100730","1970","Nebraska","31","Gosper","073",,,,,,,,,"Gosper",492000
"G3100750","1970","Nebraska","31","Grant","075",,,,,,,,,"Grant",341400
"G3100770","1970","Nebraska","31","Greeley","077",,,,,,,,,"Greeley",779750
"G3100790","1970","Nebraska","31","Hall","079",,,,,,,,,"Hall",14777850
"G3100810","1970","Nebraska","31","Hamilton","081",,,,,,,,,"Hamilton",1665650
"G3100830","1970","Nebraska","31","Harlan","083",,,,,,,,,"Harlan",877600
"G3100850","1970","Nebraska","31","Hayes","085",,,,,,,,,"Hayes",271250
"G3100870","1970","Nebraska","31","Hitchcock","087",,,,,,,,,"Hitchcock",969900
"G3100890","1970","Nebraska","31","Holt","089",,,,,,,,,"Holt",3070950
"G3100910","1970","Nebraska","31","Hooker","091",,,,,,,,,"Hooker",200100
"G3100930","1970","Nebraska","31","Howard","093",,,,,,,,,"Howard",1517550
"G3100950","1970","Nebraska","31","Jefferson","095",,,,,,,,,"Jefferson",2971650
"G3100970","1970","Nebraska","31","Johnson","097",,,,,,,,,"Johnson",1321150
"G3100990","1970","Nebraska","31","Kearney","099",,,,,,,,,"Kearney",2006450
"G3101010","1970","Nebraska","31","Keith","101",,,,,,,,,"Keith",1742500
"G3101030","1970","Nebraska","31","Keya Paha","103",,,,,,,,,"Keya Paha",432050
"G3101050","1970","Nebraska","31","Kimball","105",,,,,,,,,"Kimball",1254400
"G3101070","1970","Nebraska","31","Knox","107",,,,,"5920",,,,"Knox",2195300
"G3101090","1970","Nebraska","31","Lancaster","109",,,,,"4360",,,,"Lancaster",75886200
"G3101110","1970","Nebraska","31","Lincoln","111",,,,,,,,,"Lincoln",8030600
"G3101130","1970","Nebraska","31","Logan","113",,,,,,,,,"Logan",83350
"G3101150","1970","Nebraska","31","Loup","115",,,,,,,,,"Loup",372150
"G3101170","1970","Nebraska","31","McPherson","117",,,,,,,,,"Mc Pherson",110650
"G3101190","1970","Nebraska","31","Madison","119",,,,,,,,,"Madison",7418950
"G3101210","1970","Nebraska","31","Merrick","121",,,,,,,,,"Merrick",1703750
"G3101230","1970","Nebraska","31","Morrill","123",,,,,,,,,"Morrill",1056300
"G3101250","1970","Nebraska","31","Nance","125",,,,,,,,,"Nance",1161600
"G3101270","1970","Nebraska","31","Nemaha","127",,,,,,,,,"Nemaha",3121200
"G3101290","1970","Nebraska","31","Nuckolls","129",,,,,,,,,"Nuckolls",1480200
"G3101310","1970","Nebraska","31","Otoe","131",,,,,,,,,"Otoe",5045300
"G3101330","1970","Nebraska","31","Pawnee","133",,,,,,,,,"Pawnee",942850
"G3101350","1970","Nebraska","31","Perkins","135",,,,,,,,,"Perkins",1014650
"G3101370","1970","Nebraska","31","Phelps","137",,,,,,,,,"Phelps",2052700
"G3101390","1970","Nebraska","31","Pierce","139",,,,,,,,,"Pierce",1531600
"G3101410","1970","Nebraska","31","Platte","141",,,,,,,,,"Platte",6311950
"G3101430","1970","Nebraska","31","Polk","143",,,,,,,,,"Polk",2142800
"G3101450","1970","Nebraska","31","Red Willow","145",,,,,,,,,"Red Willow",3255500
"G3101470","1970","Nebraska","31","Richardson","147",,,,,,,,,"Richardson",2626500
"G3101490","1970","Nebraska","31","Rock","149",,,,,,,,,"Rock",523700
"G3101510","1970","Nebraska","31","Saline","151",,,,,"4360",,,,"Saline",4464700
"G3101530","1970","Nebraska","31","Sarpy","153",,,,,"5920",,,,"Sarpy",16896800
"G3101550","1970","Nebraska","31","Saunders","155",,,,,,,,,"Saunders",4192800
"G3101570","1970","Nebraska","31","Scotts Bluff","157",,,,,,,,,"Scotts Bluff",9644450
"G3101590","1970","Nebraska","31","Seward","159",,,,,,,,,"Seward",4598950
"G3101610","1970","Nebraska","31","Sheridan","161",,,,,,,,,"Sheridan",1879900
"G3101630","1970","Nebraska","31","Sherman","163",,,,,,,,,"Sherman",832500
"G3101650","1970","Nebraska","31","Sioux","165",,,,,,,,,"Sioux",393350
"G3101670","1970","Nebraska","31","Stanton","167",,,,,,,,,"Stanton",890750
"G3101690","1970","Nebraska","31","Thayer","169",,,,,,,,,"Thayer",1675500
"G3101710","1970","Nebraska","31","Thomas","171",,,,,,,,,"Thomas",202200
"G3101730","1970","Nebraska","31","Thurston","173",,,,,,,,,"Thurston",1430900
"G3101750","1970","Nebraska","31","Valley","175",,,,,,,,,"Valley",1091650
"G3101770","1970","Nebraska","31","Washington","177",,,,,,,,,"Washington",4137050
"G3101790","1970","Nebraska","31","Wayne","179",,,,,,,,,"Wayne",4119450
"G3101810","1970","Nebraska","31","Webster","181",,,,,,,,,"Webster",1144350
"G3101830","1970","Nebraska","31","Wheeler","183",,,,,,,,,"Wheeler",71350
"G3101850","1970","Nebraska","31","York","185",,,,,"5920",,,,"York",3912200
"G3200010","1970","Nevada","32","Churchill","001",,,,,,,,,"Churchill",4967550
"G3200030","1970","Nevada","32","Clark","003",,,,,"4120",,,,"Clark",149105550
"G3200050","1970","Nevada","32","Douglas","005",,,,,,,,,"Douglas",3985300
"G3200070","1970","Nevada","32","Elko","007",,,,,,,,,"Elko",6373250
"G3200090","1970","Nevada","32","Esmeralda","009",,,,,,,,,"Esmeralda",777200
"G3200110","1970","Nevada","32","Eureka","011",,,,,,,,,"Eureka",279500
"G3200130","1970","Nevada","32","Humboldt","013",,,,,,,,,"Humboldt",2919500
"G3200150","1970","Nevada","32","Lander","015",,,,,,,,,"Lander",974850
"G3200170","1970","Nevada","32","Lincoln","017",,,,,,,,,"Lincoln",775450
"G3200190","1970","Nevada","32","Lyon","019",,,,,,,,,"Lyon",2833000
"G3200210","1970","Nevada","32","Mineral","021",,,,,,,,,"Mineral",3032200
"G3200230","1970","Nevada","32","Nye","023",,,,,,,,,"Nye",5962750
"G3200270","1970","Nevada","32","Pershing","027",,,,,,,,,"Pershing",1326550
"G3200290","1970","Nevada","32","Storey","029",,,,,"4120",,,,"Storey",418850
"G3200310","1970","Nevada","32","Washoe","031",,,,,"6720",,,,"Washoe",74541450
"G3200330","1970","Nevada","32","White Pine","033",,,,,,,,,"White Pine",2790550
"G3205100","1970","Nevada","32","Carson City","510",,,,,"6720",,,,"Carson City City",6701250
"G3300010","1970","New Hampshire","33","Belknap","001",,,,,,,,,"Belknap",9358150
"G3300030","1970","New Hampshire","33","Carroll","003",,,,,,,,,"Carroll",5586800
"G3300050","1970","New Hampshire","33","Cheshire","005",,,,,,,,,"Cheshire",19161500
"G3300070","1970","New Hampshire","33","Coos","007",,,,,,,,,"Coos",8153450
"G3300090","1970","New Hampshire","33","Grafton","009",,,,,,,,,"Grafton",28196400
"G3300110","1970","New Hampshire","33","Hillsborough","011",,,,,,,,,"Hillsborough",68349300
"G3300130","1970","New Hampshire","33","Merrimack","013",,,,,,,,,"Merrimack",27460350
"G3300150","1970","New Hampshire","33","Rockingham","015",,,,,,,,,"Rockingham",38418200
"G3300170","1970","New Hampshire","33","Strafford","017",,,,,,,,,"Strafford",24078700
"G3300190","1970","New Hampshire","33","Sullivan","019",,,,,,,,,"Sullivan",9173100
"G3400010","1970","New Jersey","34","Atlantic","001",,,,,"0560",,,,"Atlantic",68821650
"G3400030","1970","New Jersey","34","Bergen","003",,,,"A","6040",,,,"Bergen",281329950
"G3400050","1970","New Jersey","34","Burlington","005",,,,,"6160",,,,"Burlington",128134400
"G3400070","1970","New Jersey","34","Camden","007",,,,,"6160",,,,"Camden",131006800
"G3400090","1970","New Jersey","34","Cape May","009",,,,,"6160",,,,"Cape May",25777400
"G3400110","1970","New Jersey","34","Cumberland","011",,,,,"8760",,,,"Cumberland",31392800
"G3400130","1970","New Jersey","34","Essex","013",,,,"A","5640",,,,"Essex",439438950
"G3400150","1970","New Jersey","34","Gloucester","015",,,,,"6160",,,,"Gloucester",40480700
"G3400170","1970","New Jersey","34","Hudson","017",,,,"A","3640",,,,"Hudson",256533900
"G3400190","1970","New Jersey","34","Hunterdon","019",,,,,"3640",,,,"Hunterdon",20317750
"G3400210","1970","New Jersey","34","Mercer","021",,,,,"8480",,,,"Mercer",122760150
"G3400230","1970","New Jersey","34","Middlesex","023",,,,"A",,,,,"Middlesex",149017200
"G3400250","1970","New Jersey","34","Monmouth","025",,,,,"8480",,,,"Monmouth",146390950
"G3400270","1970","New Jersey","34","Morris","027",,,,"A","5640",,,,"Morris",112144350
"G3400290","1970","New Jersey","34","Ocean","029",,,,,"5640",,,,"Ocean",54968350
"G3400310","1970","New Jersey","34","Passaic","031",,,,"A","6040",,,,"Passaic",143946300
"G3400330","1970","New Jersey","34","Salem","033",,,,,"9160",,,,"Salem",16941900
"G3400350","1970","New Jersey","34","Somerset","035",,,,"A",,,,,"Somerset",52241050
"G3400370","1970","New Jersey","34","Sussex","037",,,,,"9160",,,,"Sussex",19403250
"G3400390","1970","New Jersey","34","Union","039",,,,"A","5640",,,,"Union",184462800
"G3400410","1970","New Jersey","34","Warren","041",,,,,"0240",,,,"Warren",21657800
"G3500010","1970","New Mexico","35","Bernalillo","001",,,,,"0200",,,,"Bernalillo",100494250
"G3500030","1970","New Mexico","35","Catron","003",,,,,,,,,"Catron",425600
"G3500050","1970","New Mexico","35","Chaves","005",,,,,,,,,"Chaves",10450900
"G3500070","1970","New Mexico","35","Colfax","007",,,,,,,,,"Colfax",2378800
"G3500090","1970","New Mexico","35","Curry","009",,,,,,,,,"Curry",10051100
"G3500110","1970","New Mexico","35","De Baca","011",,,,,,,,,"De Baca",1477950
"G3500130","1970","New Mexico","35","Dona Ana","013",,,,,,,,,"Dona Ana",18198650
"G3500150","1970","New Mexico","35","Eddy","015",,,,,,,,,"Eddy",8410350
"G3500170","1970","New Mexico","35","Grant","017",,,,,,,,,"Grant",4218700
"G3500190","1970","New Mexico","35","Guadalupe","019",,,,,,,,,"Guadalupe",731300
"G3500210","1970","New Mexico","35","Harding","021",,,,,,,,,"Harding",394350
"G3500230","1970","New Mexico","35","Hidalgo","023",,,,,,,,,"Hidalgo",943200
"G3500250","1970","New Mexico","35","Lea","025",,,,,,,,,"Lea",7838750
"G3500270","1970","New Mexico","35","Lincoln","027",,,,,,,,,"Lincoln",1655050
"G3500280","1970","New Mexico","35","Los Alamos","028",,,,,,,,,"Los Alamos",5482450
"G3500290","1970","New Mexico","35","Luna","029",,,,,,,,,"Luna",2323950
"G3500310","1970","New Mexico","35","McKinley","031",,,,,,,,,"Mc Kinley",6708900
"G3500330","1970","New Mexico","35","Mora","033",,,,,,,,,"Mora",443000
"G3500350","1970","New Mexico","35","Otero","035",,,,,,,,,"Otero",11376950
"G3500370","1970","New Mexico","35","Quay","037",,,,,,,,,"Quay",2742850
"G3500390","1970","New Mexico","35","Rio Arriba","039",,,,,,,,,"Rio Arriba",2381750
"G3500410","1970","New Mexico","35","Roosevelt","041",,,,,,,,,"Roosevelt",4454850
"G3500430","1970","New Mexico","35","Sandoval","043",,,,,,,,,"Sandoval",2120250
"G3500450","1970","New Mexico","35","San Juan","045",,,,,,,,,"San Juan",7058250
"G3500470","1970","New Mexico","35","San Miguel","047",,,,,,,,,"San Miguel",3789950
"G3500490","1970","New Mexico","35","Santa Fe","049",,,,,,,,,"Santa Fe",18704100
"G3500510","1970","New Mexico","35","Sierra","051",,,,,,,,,"Sierra",2312250
"G3500530","1970","New Mexico","35","Socorro","053",,,,,,,,,"Socorro",2328200
"G3500550","1970","New Mexico","35","Taos","055",,,,,,,,,"Taos",2431500
"G3500570","1970","New Mexico","35","Torrance","057",,,,,,,,,"Torrance",724000
"G3500590","1970","New Mexico","35","Union","059",,,,,,,,,"Union",1797700
"G3500610","1970","New Mexico","35","Valencia","061",,,,,"0200",,,,"Valencia",4700550
"G3600010","1970","New York","36","Albany","001",,,,,"0160",,,,"Albany",146836700
"G3600030","1970","New York","36","Allegany","003",,,,,"0160",,,,"Allegany",14796750
"G3600050","1970","New York","36","Bronx","005",,,,"A","5600",,,,"Bronx",540313700
"G3600070","1970","New York","36","Broome","007",,,,,"0960",,,,"Broome",72897700
"G3600090","1970","New York","36","Cattaraugus","009",,,,,,,,,"Cattaraugus",24671950
"G3600110","1970","New York","36","Cayuga","011",,,,,,,,,"Cayuga",20232500
"G3600130","1970","New York","36","Chautauqua","013",,,,,,,,,"Chautauqua",43342450
"G3600150","1970","New York","36","Chemung","015",,,,,,,,,"Chemung",29562000
"G3600170","1970","New York","36","Chenango","017",,,,,,,,,"Chenango",11696000
"G3600190","1970","New York","36","Clinton","019",,,,,,,,,"Clinton",20575700
"G3600210","1970","New York","36","Columbia","021",,,,,,,,,"Columbia",15068500
"G3600230","1970","New York","36","Cortland","023",,,,,,,,,"Cortland",15625050
"G3600250","1970","New York","36","Delaware","025",,,,,,,,,"Delaware",12937300
"G3600270","1970","New York","36","Dutchess","027",,,,,"0960",,,,"Dutchess",81965550
"G3600290","1970","New York","36","Erie","029",,,,,"1280",,,,"Erie",375223700
"G3600310","1970","New York","36","Essex","031",,,,,,,,,"Essex",10518900
"G3600330","1970","New York","36","Franklin","033",,,,,,,,,"Franklin",11328950
"G3600350","1970","New York","36","Fulton","035",,,,,,,,,"Fulton",16558250
"G3600370","1970","New York","36","Genesee","037",,,,,,,,,"Genesee",15454700
"G3600390","1970","New York","36","Greene","039",,,,,,,,,"Greene",7727200
"G3600410","1970","New York","36","Hamilton","041",,,,,,,,,"Hamilton",1315900
"G3600430","1970","New York","36","Herkimer","043",,,,,"8680",,,,"Herkimer",18645800
"G3600450","1970","New York","36","Jefferson","045",,,,,"8680",,,,"Jefferson",24704300
"G3600470","1970","New York","36","Kings","047",,,,"A","5600",,,,"Kings",984947900
"G3600490","1970","New York","36","Lewis","049",,,,,"5600",,,,"Lewis",5349700
"G3600510","1970","New York","36","Livingston","051",,,,,"6840",,,,"Livingston",16302900
"G3600530","1970","New York","36","Madison","053",,,,,"8160",,,,"Madison",17633550
"G3600550","1970","New York","36","Monroe","055",,,,,"6840",,,,"Monroe",310614050
"G3600570","1970","New York","36","Montgomery","057",,,,,"6840",,,,"Montgomery",15672500
"G3600590","1970","New York","36","Nassau","059",,,,"A","5600",,,,"Nassau",345018600
"G3600610","1970","New York","36","New York","061",,,,"A","5600",,,,"New York",2933829000
"G3600630","1970","New York","36","Niagara","063",,,,,"1280",,,,"Niagara",61996250
"G3600650","1970","New York","36","Oneida","065",,,,,"8680",,,,"Oneida",83595650
"G3600670","1970","New York","36","Onondaga","067",,,,,"8160",,,,"Onondaga",197678300
"G3600690","1970","New York","36","Ontario","069",,,,,,,,,"Ontario",24603950
"G3600710","1970","New York","36","Orange","071",,,,,"8160",,,,"Orange",70104700
"G3600730","1970","New York","36","Orleans","073",,,,,"6840",,,,"Orleans",9301550
"G3600750","1970","New York","36","Oswego","075",,,,,"8160",,,,"Oswego",26436200
"G3600770","1970","New York","36","Otsego","077",,,,,,,,,"Otsego",21284000
"G3600790","1970","New York","36","Putnam","079",,,,,"8160",,,,"Putnam",13190100
"G3600810","1970","New York","36","Queens","081",,,,"A","5600",,,,"Queens",870822200
"G3600830","1970","New York","36","Rensselaer","083",,,,,"0160",,,,"Rensselaer",53438050
"G3600850","1970","New York","36","Richmond","085",,,,"A","5600",,,,"Richmond",80033300
"G3600870","1970","New York","36","Rockland","087",,,,"A","5600",,,,"Rockland",59686500
"G3600890","1970","New York","36","St Lawrence","089",,,,,"5600",,,,"St Lawrence",34325300
"G3600910","1970","New York","36","Saratoga","091",,,,,"0160",,,,"Saratoga",27620950
"G3600930","1970","New York","36","Schenectady","093",,,,,"0160",,,,"Schenectady",60385550
"G3600950","1970","New York","36","Schoharie","095",,,,,,,,,"Schoharie",6794600
"G3600970","1970","New York","36","Schuyler","097",,,,,,,,,"Schuyler",3775500
"G3600990","1970","New York","36","Seneca","099",,,,,,,,,"Seneca",10770500
"G3601010","1970","New York","36","Steuben","101",,,,,"0160",,,,"Steuben",29945500
"G3601030","1970","New York","36","Suffolk","103",,,,"A","5600",,,,"Suffolk",213554800
"G3601050","1970","New York","36","Sullivan","105",,,,,"5600",,,,"Sullivan",21786850
"G3601070","1970","New York","36","Tioga","107",,,,,"0960",,,,"Tioga",9820750
"G3601090","1970","New York","36","Tompkins","109",,,,,,,,,"Tompkins",48675000
"G3601110","1970","New York","36","Ulster","111",,,,,,,,,"Ulster",45632750
"G3601130","1970","New York","36","Warren","113",,,,,,,,,"Warren",15595850
"G3601150","1970","New York","36","Washington","115",,,,,"0960",,,,"Washington",12267300
"G3601170","1970","New York","36","Wayne","117",,,,,"6840",,,,"Wayne",21731450
"G3601190","1970","New York","36","Westchester","119",,,,"A","5600",,,,"Westchester",405900750
"G3601210","1970","New York","36","Wyoming","121",,,,,,,,,"Wyoming",8933350
"G3601230","1970","New York","36","Yates","123",,,,,"5600",,,,"Yates",5796300
"G3700010","1970","North Carolina","37","Alamance","001",,,,,,,,,"Alamance",18251200
"G3700030","1970","North Carolina","37","Alexander","003",,,,,,,,,"Alexander",2107600
"G3700050","1970","North Carolina","37","Alleghany","005",,,,,,,,,"Alleghany",1003100
"G3700070","1970","North Carolina","37","Anson","007",,,,,,,,,"Anson",2398200
"G3700090","1970","North Carolina","37","Ashe","009",,,,,,,,,"Ashe",1170750
"G3700110","1970","North Carolina","37","Avery","011",,,,,,,,,"Avery",1720800
"G3700130","1970","North Carolina","37","Beaufort","013",,,,,,,,,"Beaufort",4395050
"G3700150","1970","North Carolina","37","Bertie","015",,,,,,,,,"Bertie",1758850
"G3700170","1970","North Carolina","37","Bladen","017",,,,,,,,,"Bladen",2242750
"G3700190","1970","North Carolina","37","Brunswick","019",,,,,"9200",,,,"Brunswick",2527450
"G3700210","1970","North Carolina","37","Buncombe","021",,,,,"0480",,,,"Buncombe",37584600
"G3700230","1970","North Carolina","37","Burke","023",,,,,,,,,"Burke",7892850
"G3700250","1970","North Carolina","37","Cabarrus","025",,,,,,,,,"Cabarrus",12586000
"G3700270","1970","North Carolina","37","Caldwell","027",,,,,,,,,"Caldwell",6138550
"G3700290","1970","North Carolina","37","Camden","029",,,,,,,,,"Camden",914000
"G3700310","1970","North Carolina","37","Carteret","031",,,,,,,,,"Carteret",5865900
"G3700330","1970","North Carolina","37","Caswell","033",,,,,,,,,"Caswell",1464100
"G3700350","1970","North Carolina","37","Catawba","035",,,,,,,,,"Catawba",16070500
"G3700370","1970","North Carolina","37","Chatham","037",,,,,,,,,"Chatham",4572750
"G3700390","1970","North Carolina","37","Cherokee","039",,,,,,,,,"Cherokee",1669400
"G3700410","1970","North Carolina","37","Chowan","041",,,,,,,,,"Chowan",1349650
"G3700430","1970","North Carolina","37","Clay","043",,,,,,,,,"Clay",638650
"G3700450","1970","North Carolina","37","Cleveland","045",,,,,,,,,"Cleveland",8931400
"G3700470","1970","North Carolina","37","Columbus","047",,,,,,,,,"Columbus",5068800
"G3700490","1970","North Carolina","37","Craven","049",,,,,"0480",,,,"Craven",18299900
"G3700510","1970","North Carolina","37","Cumberland","051",,,,,"2560",,,,"Cumberland",117889150
"G3700530","1970","North Carolina","37","Currituck","053",,,,,,,,,"Currituck",873150
"G3700550","1970","North Carolina","37","Dare","055",,,,,,,,,"Dare",2025450
"G3700570","1970","North Carolina","37","Davidson","057",,,,,,,,,"Davidson",13245500
"G3700590","1970","North Carolina","37","Davie","059",,,,,,,,,"Davie",1817200
"G3700610","1970","North Carolina","37","Duplin","061",,,,,"2560",,,,"Duplin",4802750
"G3700630","1970","North Carolina","37","Durham","063",,,,,"2280",,,,"Durham",47686100
"G3700650","1970","North Carolina","37","Edgecombe","065",,,,,"2280",,,,"Edgecombe",7270750
"G3700670","1970","North Carolina","37","Forsyth","067",,,,,"3120",,,,"Forsyth",63638700
"G3700690","1970","North Carolina","37","Franklin","069",,,,,,,,,"Franklin",4007800
"G3700710","1970","North Carolina","37","Gaston","071",,,,,,,,,"Gaston",23382600
"G3700730","1970","North Carolina","37","Gates","073",,,,,,,,,"Gates",726200
"G3700750","1970","North Carolina","37","Graham","075",,,,,,,,,"Graham",548300
"G3700770","1970","North Carolina","37","Granville","077",,,,,,,,,"Granville",5020650
"G3700790","1970","North Carolina","37","Greene","079",,,,,,,,,"Greene",2007450
"G3700810","1970","North Carolina","37","Guilford","081",,,,,"3120",,,,"Guilford",83888000
"G3700830","1970","North Carolina","37","Halifax","083",,,,,,,,,"Halifax",7092300
"G3700850","1970","North Carolina","37","Harnett","085",,,,,,,,,"Harnett",6670450
"G3700870","1970","North Carolina","37","Haywood","087",,,,,,,,,"Haywood",4948000
"G3700890","1970","North Carolina","37","Henderson","089",,,,,,,,,"Henderson",7002500
"G3700910","1970","North Carolina","37","Hertford","091",,,,,,,,,"Hertford",2506900
"G3700930","1970","North Carolina","37","Hoke","093",,,,,,,,,"Hoke",1769050
"G3700950","1970","North Carolina","37","Hyde","095",,,,,,,,,"Hyde",739050
"G3700970","1970","North Carolina","37","Iredell","097",,,,,,,,,"Iredell",10662450
"G3700990","1970","North Carolina","37","Jackson","099",,,,,,,,,"Jackson",5579900
"G3701010","1970","North Carolina","37","Johnston","101",,,,,,,,,"Johnston",6957300
"G3701030","1970","North Carolina","37","Jones","103",,,,,,,,,"Jones",956550
"G3701050","1970","North Carolina","37","Lee","105",,,,,,,,,"Lee",3985550
"G3701070","1970","North Carolina","37","Lenoir","107",,,,,,,,,"Lenoir",10597050
"G3701090","1970","North Carolina","37","Lincoln","109",,,,,,,,,"Lincoln",3891750
"G3701110","1970","North Carolina","37","McDowell","111",,,,,,,,,"Mc Dowell",2837850
"G3701130","1970","North Carolina","37","Macon","113",,,,,,,,,"Macon",1442850
