GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GB7001
"G4601190","2000","2","4","South Dakota","46","Sully","119",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sully County",55600
"G4601210","2000","2","4","South Dakota","46","Todd","121",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Todd County",27500
"G4601230","2000","2","4","South Dakota","46","Tripp","123",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Tripp County",50300
"G4601250","2000","2","4","South Dakota","46","Turner","125",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Turner County",57600
"G4601270","2000","2","4","South Dakota","46","Union","127",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Union County",89600
"G4601290","2000","2","4","South Dakota","46","Walworth","129",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Walworth County",40300
"G4601350","2000","2","4","South Dakota","46","Yankton","135",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Yankton County",77900
"G4601370","2000","2","4","South Dakota","46","Ziebach","137",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Ziebach County",38300
"G4700010","2000","3","6","Tennessee","47","Anderson","001",,,,,,,,,,,,,"3840","9999","9999",,,,,,,,"Anderson County",87500
"G4700030","2000","3","6","Tennessee","47","Bedford","003",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bedford County",79000
"G4700050","2000","3","6","Tennessee","47","Benton","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Benton County",67000
"G4700070","2000","3","6","Tennessee","47","Bledsoe","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bledsoe County",67200
"G4700090","2000","3","6","Tennessee","47","Blount","009",,,,,,,,,,,,,"3840","9999","9999",,,,,,,,"Blount County",103900
"G4700110","2000","3","6","Tennessee","47","Bradley","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bradley County",91700
"G4700130","2000","3","6","Tennessee","47","Campbell","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Campbell County",65600
"G4700150","2000","3","6","Tennessee","47","Cannon","015",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cannon County",79600
"G4700170","2000","3","6","Tennessee","47","Carroll","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Carroll County",60900
"G4700190","2000","3","6","Tennessee","47","Carter","019",,,,,,,,,,,,,"3660","9999","9999",,,,,,,,"Carter County",77300
"G4700210","2000","3","6","Tennessee","47","Cheatham","021",,,,,,,,,,,,,"5360","9999","9999",,,,,,,,"Cheatham County",109100
"G4700230","2000","3","6","Tennessee","47","Chester","023",,,,,,,,,,,,,"3580","9999","9999",,,,,,,,"Chester County",78900
"G4700250","2000","3","6","Tennessee","47","Claiborne","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Claiborne County",72000
"G4700270","2000","3","6","Tennessee","47","Clay","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clay County",56400
"G4700290","2000","3","6","Tennessee","47","Cocke","029",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cocke County",73600
"G4700310","2000","3","6","Tennessee","47","Coffee","031",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coffee County",82200
"G4700330","2000","3","6","Tennessee","47","Crockett","033",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Crockett County",65200
"G4700350","2000","3","6","Tennessee","47","Cumberland","035",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cumberland County",91400
"G4700370","2000","3","6","Tennessee","47","Davidson","037",,,,,,,,,,,,,"5360","9999","9999",,,,,,,,"Davidson County",115800
"G4700390","2000","3","6","Tennessee","47","Decatur","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Decatur County",58300
"G4700410","2000","3","6","Tennessee","47","DeKalb","041",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"DeKalb County",82600
"G4700430","2000","3","6","Tennessee","47","Dickson","043",,,,,,,,,,,,,"5360","9999","9999",,,,,,,,"Dickson County",96200
"G4700450","2000","3","6","Tennessee","47","Dyer","045",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dyer County",74900
"G4700470","2000","3","6","Tennessee","47","Fayette","047",,,,,,,,,,,,,"4920","9999","9999",,,,,,,,"Fayette County",100100
"G4700490","2000","3","6","Tennessee","47","Fentress","049",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Fentress County",56500
"G4700510","2000","3","6","Tennessee","47","Franklin","051",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Franklin County",82600
"G4700530","2000","3","6","Tennessee","47","Gibson","053",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Gibson County",66300
"G4700550","2000","3","6","Tennessee","47","Giles","055",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Giles County",72900
"G4700570","2000","3","6","Tennessee","47","Grainger","057",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Grainger County",74000
"G4700590","2000","3","6","Tennessee","47","Greene","059",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Greene County",80400
"G4700610","2000","3","6","Tennessee","47","Grundy","061",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Grundy County",52300
"G4700630","2000","3","6","Tennessee","47","Hamblen","063",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hamblen County",85300
"G4700650","2000","3","6","Tennessee","47","Hamilton","065",,,,,,,,,,,,,"1560","9999","9999",,,,,,,,"Hamilton County",94700
"G4700670","2000","3","6","Tennessee","47","Hancock","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hancock County",53900
"G4700690","2000","3","6","Tennessee","47","Hardeman","069",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hardeman County",59900
