GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AB2AA,AB2AAM
G3701970,2008-2012,North Carolina,37,370,Yadkin County,197,1970,"Yadkin County, North Carolina",50954,2696
G3701990,2008-2012,North Carolina,37,370,Yancey County,199,1990,"Yancey County, North Carolina",45233,2982
G3800010,2008-2012,North Dakota,38,380,Adams County,1,10,"Adams County, North Dakota",56328,4307
G3800030,2008-2012,North Dakota,38,380,Barnes County,3,30,"Barnes County, North Dakota",66225,5341
G3800050,2008-2012,North Dakota,38,380,Benson County,5,50,"Benson County, North Dakota",39276,3746
G3800070,2008-2012,North Dakota,38,380,Billings County,7,70,"Billings County, North Dakota",61979,7690
G3800090,2008-2012,North Dakota,38,380,Bottineau County,9,90,"Bottineau County, North Dakota",66339,5863
G3800110,2008-2012,North Dakota,38,380,Bowman County,11,110,"Bowman County, North Dakota",70707,4662
G3800130,2008-2012,North Dakota,38,380,Burke County,13,130,"Burke County, North Dakota",71563,11069
G3800150,2008-2012,North Dakota,38,380,Burleigh County,15,150,"Burleigh County, North Dakota",77166,3069
G3800170,2008-2012,North Dakota,38,380,Cass County,17,170,"Cass County, North Dakota",72555,1959
G3800190,2008-2012,North Dakota,38,380,Cavalier County,19,190,"Cavalier County, North Dakota",66741,7103
G3800210,2008-2012,North Dakota,38,380,Dickey County,21,210,"Dickey County, North Dakota",61563,5624
G3800230,2008-2012,North Dakota,38,380,Divide County,23,230,"Divide County, North Dakota",65550,15501
G3800250,2008-2012,North Dakota,38,380,Dunn County,25,250,"Dunn County, North Dakota",75081,8939
G3800270,2008-2012,North Dakota,38,380,Eddy County,27,270,"Eddy County, North Dakota",49489,5908
G3800290,2008-2012,North Dakota,38,380,Emmons County,29,290,"Emmons County, North Dakota",50250,6372
G3800310,2008-2012,North Dakota,38,380,Foster County,31,310,"Foster County, North Dakota",68021,8466
G3800330,2008-2012,North Dakota,38,380,Golden Valley County,33,330,"Golden Valley County, North Dakota",66250,9391
G3800350,2008-2012,North Dakota,38,380,Grand Forks County,35,350,"Grand Forks County, North Dakota",71711,2403
G3800370,2008-2012,North Dakota,38,380,Grant County,37,370,"Grant County, North Dakota",56389,4793
G3800390,2008-2012,North Dakota,38,380,Griggs County,39,390,"Griggs County, North Dakota",61176,4263
G3800410,2008-2012,North Dakota,38,380,Hettinger County,41,410,"Hettinger County, North Dakota",54844,5250
G3800430,2008-2012,North Dakota,38,380,Kidder County,43,430,"Kidder County, North Dakota",57404,3290
G3800450,2008-2012,North Dakota,38,380,LaMoure County,45,450,"LaMoure County, North Dakota",66383,2604
G3800470,2008-2012,North Dakota,38,380,Logan County,47,470,"Logan County, North Dakota",59188,3594
G3800490,2008-2012,North Dakota,38,380,McHenry County,49,490,"McHenry County, North Dakota",59490,3699
G3800510,2008-2012,North Dakota,38,380,McIntosh County,51,510,"McIntosh County, North Dakota",51761,3633
G3800530,2008-2012,North Dakota,38,380,McKenzie County,53,530,"McKenzie County, North Dakota",73194,7697
G3800550,2008-2012,North Dakota,38,380,McLean County,55,550,"McLean County, North Dakota",66382,3588
G3800570,2008-2012,North Dakota,38,380,Mercer County,57,570,"Mercer County, North Dakota",75137,3331
G3800590,2008-2012,North Dakota,38,380,Morton County,59,590,"Morton County, North Dakota",67154,3790
G3800610,2008-2012,North Dakota,38,380,Mountrail County,61,610,"Mountrail County, North Dakota",74756,4499
G3800630,2008-2012,North Dakota,38,380,Nelson County,63,630,"Nelson County, North Dakota",62656,6145
G3800650,2008-2012,North Dakota,38,380,Oliver County,65,650,"Oliver County, North Dakota",78125,10227
G3800670,2008-2012,North Dakota,38,380,Pembina County,67,670,"Pembina County, North Dakota",63097,2570
G3800690,2008-2012,North Dakota,38,380,Pierce County,69,690,"Pierce County, North Dakota",63431,4841
G3800710,2008-2012,North Dakota,38,380,Ramsey County,71,710,"Ramsey County, North Dakota",62150,3909
G3800730,2008-2012,North Dakota,38,380,Ransom County,73,730,"Ransom County, North Dakota",64448,3732
G3800750,2008-2012,North Dakota,38,380,Renville County,75,750,"Renville County, North Dakota",70125,6767
G3800770,2008-2012,North Dakota,38,380,Richland County,77,770,"Richland County, North Dakota",70181,4401
G3800790,2008-2012,North Dakota,38,380,Rolette County,79,790,"Rolette County, North Dakota",36806,5213
G3800810,2008-2012,North Dakota,38,380,Sargent County,81,810,"Sargent County, North Dakota",63906,4622
G3800830,2008-2012,North Dakota,38,380,Sheridan County,83,830,"Sheridan County, North Dakota",46027,3059
G3800850,2008-2012,North Dakota,38,380,Sioux County,85,850,"Sioux County, North Dakota",29091,6020
G3800870,2008-2012,North Dakota,38,380,Slope County,87,870,"Slope County, North Dakota",66250,17293
G3800890,2008-2012,North Dakota,38,380,Stark County,89,890,"Stark County, North Dakota",70826,3053
G3800910,2008-2012,North Dakota,38,380,Steele County,91,910,"Steele County, North Dakota",59125,7634
G3800930,2008-2012,North Dakota,38,380,Stutsman County,93,930,"Stutsman County, North Dakota",64326,4218
G3800950,2008-2012,North Dakota,38,380,Towner County,95,950,"Towner County, North Dakota",64671,4634
G3800970,2008-2012,North Dakota,38,380,Traill County,97,970,"Traill County, North Dakota",63767,3323
G3800990,2008-2012,North Dakota,38,380,Walsh County,99,990,"Walsh County, North Dakota",60777,3441
G3801010,2008-2012,North Dakota,38,380,Ward County,101,1010,"Ward County, North Dakota",65264,2061
G3801030,2008-2012,North Dakota,38,380,Wells County,103,1030,"Wells County, North Dakota",54464,4338
G3801050,2008-2012,North Dakota,38,380,Williams County,105,1050,"Williams County, North Dakota",80346,4829
G3900010,2008-2012,Ohio,39,390,Adams County,1,10,"Adams County, Ohio",42380,2548
G3900030,2008-2012,Ohio,39,390,Allen County,3,30,"Allen County, Ohio",55220,2014
G3900050,2008-2012,Ohio,39,390,Ashland County,5,50,"Ashland County, Ohio",52823,2387
G3900070,2008-2012,Ohio,39,390,Ashtabula County,7,70,"Ashtabula County, Ohio",51116,1162
G3900090,2008-2012,Ohio,39,390,Athens County,9,90,"Athens County, Ohio",50815,2307
G3900110,2008-2012,Ohio,39,390,Auglaize County,11,110,"Auglaize County, Ohio",61955,1749
G3900130,2008-2012,Ohio,39,390,Belmont County,13,130,"Belmont County, Ohio",51850,1729
G3900150,2008-2012,Ohio,39,390,Brown County,15,150,"Brown County, Ohio",53125,2307
